  
       XFOIL         Version 6.99
  
 Calculated polar for: 20-32C AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0143   0.06305   0.06051  -0.0644   0.7830   0.0164
  -4.000   0.1643   0.04980   0.04673  -0.0923   0.7142   0.0190
  -3.000   0.2903   0.03562   0.03200  -0.1085   0.6504   0.0234
  -2.000   0.4680   0.01946   0.01446  -0.1273   0.5890   0.0270
  -1.000   0.6018   0.01312   0.00645  -0.1315   0.5226   0.0427
   0.000   0.7204   0.01129   0.00382  -0.1320   0.4589   0.0458
   1.000   0.8360   0.01096   0.00307  -0.1320   0.4010   0.0520
   2.000   0.9499   0.01128   0.00313  -0.1318   0.3567   0.0757
   3.000   1.0574   0.01056   0.00388  -0.1309   0.3266   1.0000
   4.000   1.1681   0.01147   0.00463  -0.1302   0.3052   1.0000
   5.000   1.2773   0.01245   0.00558  -0.1294   0.2876   1.0000
   6.000   1.3845   0.01339   0.00643  -0.1284   0.2529   1.0000
   7.000   1.4554   0.01852   0.01034  -0.1229   0.0174   1.0000
   8.000   1.5326   0.02209   0.01457  -0.1171   0.0110   1.0000
   9.000   1.5469   0.02877   0.02186  -0.1042   0.0095   1.0000
  10.000   1.5007   0.04341   0.03711  -0.0968   0.0090   1.0000
  11.000   1.4750   0.06020   0.05441  -0.0973   0.0083   1.0000
  12.000   1.4649   0.07231   0.06661  -0.0914   0.0091   1.0000
  -4.000   0.1709   0.02935   0.02634  -0.0860   0.6775   0.0190
  -5.000   0.0143   0.06305   0.06051  -0.0644   0.7830   0.0164
  -4.000   0.1643   0.04980   0.04673  -0.0923   0.7142   0.0190
  -3.000   0.2903   0.03562   0.03200  -0.1085   0.6504   0.0234
  -2.000   0.4680   0.01946   0.01446  -0.1273   0.5890   0.0270
  -1.000   0.6018   0.01312   0.00645  -0.1315   0.5226   0.0427
   0.000   0.7204   0.01129   0.00382  -0.1320   0.4589   0.0458
   1.000   0.8360   0.01096   0.00307  -0.1320   0.4010   0.0520
   2.000   0.9499   0.01128   0.00313  -0.1318   0.3567   0.0757
   3.000   1.0574   0.01056   0.00388  -0.1309   0.3266   1.0000
   4.000   1.1681   0.01147   0.00463  -0.1302   0.3052   1.0000
   5.000   1.2773   0.01245   0.00558  -0.1294   0.2876   1.0000
   6.000   1.3845   0.01339   0.00643  -0.1284   0.2529   1.0000
   7.000   1.4554   0.01852   0.01034  -0.1229   0.0174   1.0000
   8.000   1.5326   0.02209   0.01457  -0.1171   0.0110   1.0000
   9.000   1.5469   0.02877   0.02186  -0.1042   0.0095   1.0000
  10.000   1.5007   0.04341   0.03711  -0.0968   0.0090   1.0000
  11.000   1.4750   0.06020   0.05441  -0.0973   0.0083   1.0000
  12.000   1.4649   0.07231   0.06661  -0.0914   0.0091   1.0000
