  
       XFOIL         Version 6.99
  
 Calculated polar for: A18 (original)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0063   0.01161   0.00590  -0.1175   0.9754   0.0612
  -4.000   0.1504   0.00959   0.00363  -0.1236   0.9649   0.0706
  -3.000   0.2772   0.00844   0.00245  -0.1256   0.9399   0.0926
  -2.000   0.3953   0.00759   0.00201  -0.1259   0.9029   0.2386
  -1.000   0.5091   0.00712   0.00188  -0.1253   0.8471   0.4166
   0.000   0.6124   0.00602   0.00189  -0.1222   0.7726   1.0000
   1.000   0.7243   0.00662   0.00211  -0.1213   0.6929   1.0000
   2.000   0.8342   0.00743   0.00257  -0.1201   0.5932   1.0000
   3.000   0.9402   0.00869   0.00333  -0.1184   0.4463   1.0000
   4.000   1.0325   0.01180   0.00511  -0.1152   0.1692   1.0000
   5.000   1.1224   0.01527   0.00788  -0.1110   0.0189   1.0000
   6.000   1.2034   0.01957   0.01267  -0.1043   0.0128   1.0000
   7.000   1.2776   0.02509   0.01871  -0.0970   0.0104   1.0000
   8.000   1.2630   0.02373   0.01847  -0.0768   0.0095   1.0000
   9.000   1.2426   0.03540   0.03114  -0.0593   0.0097   1.0000
  10.000   1.1231   0.05885   0.05593  -0.0446   0.0121   1.0000
  11.000   1.0186   0.08425   0.08192  -0.0483   0.0123   1.0000
  12.000   0.9135   0.11268   0.11078  -0.0623   0.0121   1.0000
  -5.000   0.0063   0.01161   0.00590  -0.1175   0.9754   0.0612
  -4.000   0.1504   0.00959   0.00363  -0.1236   0.9649   0.0706
  -3.000   0.2772   0.00844   0.00245  -0.1256   0.9399   0.0926
  -2.000   0.3953   0.00759   0.00201  -0.1259   0.9029   0.2386
  -1.000   0.5091   0.00712   0.00188  -0.1253   0.8471   0.4166
   0.000   0.6124   0.00602   0.00189  -0.1222   0.7726   1.0000
   1.000   0.7243   0.00662   0.00211  -0.1213   0.6929   1.0000
   2.000   0.8342   0.00743   0.00257  -0.1201   0.5932   1.0000
   3.000   0.9402   0.00869   0.00333  -0.1184   0.4463   1.0000
   4.000   1.0325   0.01180   0.00511  -0.1152   0.1692   1.0000
   5.000   1.1224   0.01527   0.00788  -0.1110   0.0189   1.0000
   6.000   1.2034   0.01957   0.01267  -0.1043   0.0128   1.0000
   7.000   1.2776   0.02509   0.01871  -0.0970   0.0104   1.0000
   8.000   1.2630   0.02373   0.01847  -0.0768   0.0095   1.0000
   9.000   1.2426   0.03540   0.03114  -0.0593   0.0097   1.0000
  10.000   1.1231   0.05885   0.05593  -0.0446   0.0121   1.0000
  11.000   1.0186   0.08425   0.08192  -0.0483   0.0123   1.0000
  12.000   0.9135   0.11268   0.11078  -0.0623   0.0121   1.0000
  -5.000   0.0063   0.01161   0.00590  -0.1175   0.9754   0.0612
  -4.000   0.1504   0.00959   0.00363  -0.1236   0.9649   0.0706
  -3.000   0.2772   0.00844   0.00245  -0.1256   0.9399   0.0926
  -2.000   0.3953   0.00759   0.00201  -0.1259   0.9029   0.2386
  -1.000   0.5091   0.00712   0.00188  -0.1253   0.8471   0.4166
   0.000   0.6124   0.00602   0.00189  -0.1222   0.7726   1.0000
   1.000   0.7243   0.00662   0.00211  -0.1213   0.6929   1.0000
   2.000   0.8342   0.00743   0.00257  -0.1201   0.5932   1.0000
   3.000   0.9402   0.00869   0.00333  -0.1184   0.4463   1.0000
   4.000   1.0325   0.01180   0.00511  -0.1152   0.1692   1.0000
   5.000   1.1224   0.01527   0.00788  -0.1110   0.0189   1.0000
   6.000   1.2034   0.01957   0.01267  -0.1043   0.0128   1.0000
   7.000   1.2776   0.02509   0.01871  -0.0970   0.0104   1.0000
   8.000   1.2630   0.02373   0.01847  -0.0768   0.0095   1.0000
   9.000   1.2426   0.03540   0.03114  -0.0593   0.0097   1.0000
  10.000   1.1231   0.05885   0.05593  -0.0446   0.0121   1.0000
  11.000   1.0186   0.08425   0.08192  -0.0483   0.0123   1.0000
  12.000   0.9135   0.11268   0.11078  -0.0623   0.0121   1.0000
